Id,SalePrice
1461,128613.64
1462,162569.95
1463,192102.56
1464,201202.19
1465,175619.72
1466,171149.42
1467,175292.53
1468,168022.69
1469,177008.92
1470,130184.086
1471,196867.56
1472,102207.336
1473,104341.61
1474,149846.7
1475,122516.93
1476,382350.88
1477,254226.8
1478,301891.78
1479,247825.78
1480,501707.97
1481,298772.62
1482,206614.95
1483,171507.62
1484,168101.08
1485,181978.86
1486,195159.84
1487,347069.88
1488,236847.08
1489,216523.22
1490,233825.73
1491,186130.69
1492,89018.61
1493,193310.64
1494,290279.5
1495,286723.7
1496,244708.52
1497,182027.28
1498,169059.83
1499,161252.44
1500,158688.86
1501,181045.27
1502,146152.56
1503,299951.72
1504,243152.2
1505,227405.28
1506,175062.17
1507,253792.89
1508,188179.36
1509,163445.12
1510,151381.22
1511,146312.36
1512,166285.72
1513,154772.6
1514,175173.16
1515,200012.4
1516,148036.36
1517,167228.95
1518,126733.71
1519,233173.05
1520,135429.36
1521,136812.1
1522,162579.94
1523,115844.47
1524,123102.86
1525,115988.59
1526,110746.91
1527,109436.34
1528,130629.5
1529,152440.7
1530,178487.69
1531,91169.02
1532,94960.055
1533,145628.08
1534,120769.92
1535,156306.11
1536,113184.04
1537,73787.69
1538,177663.53
1539,213380.44
1540,91172.87
1541,145076.94
1542,140844.56
1543,205271.12
1544,72767.42
1545,112398.81
1546,133596.6
1547,135572.55
1548,135929.06
1549,112626.586
1550,144063.31
1551,108003.72
1552,153916.72
1553,161883.86
1554,111530.59
1555,169089.17
1556,75729.945
1557,111460.26
1558,102678
1559,68278.12
1560,134050.5
1561,130432.29
1562,123579.45
1563,127809.14
1564,152663.02
1565,151800.3
1566,226097.78
1567,78458.82
1568,231089.69
1569,143248.78
1570,135210.97
1571,116754.51
1572,144514.86
1573,246264.7
1574,117599.34
1575,234234.16
1576,244222.36
1577,207481.31
1578,146596.89
1579,151565.64
1580,187213.69
1581,157294.4
1582,130226.7
1583,317582.3
1584,229984.38
1585,141476.8
1586,71356.766
1587,95920.93
1588,160787.56
1589,102197.195
1590,134028.58
1591,95264.74
1592,113340.71
1593,131525.83
1594,183190.05
1595,117262.37
1596,235534.95
1597,192181.48
1598,203387.28
1599,165653.94
1600,165320.97
1601,68320.29
1602,113537.42
1603,81987.75
1604,269513.78
1605,236168.53
1606,160222.02
1607,183021.12
1608,207881.4
1609,193827.2
1610,159246.31
1611,141197.98
1612,163676.28
1613,169177.7
1614,126021.414
1615,86443.89
1616,65617.04
1617,92859.13
1618,126960.36
1619,138593.1
1620,172614.53
1621,139640.61
1622,143494.28
1623,288484.84
1624,209413.39
1625,119316.76
1626,158879.75
1627,192903.62
1628,291182.56
1629,179812.11
1630,377329.62
1631,233081.52
1632,245407.14
1633,174028.31
1634,186962.53
1635,176372.56
1636,153205.27
1637,195967.36
1638,185493.03
1639,187025.61
1640,247811.08
1641,173604.48
1642,240445.11
1643,217182.34
1644,234324.1
1645,174271.3
1646,163607.3
1647,153601.08
1648,135898.06
1649,144815.6
1650,116675.836
1651,119795.06
1652,97259.72
1653,101818.6
1654,144806.44
1655,142068.88
1656,143384.08
1657,147909.44
1658,143708.34
1659,124403.9
1660,162376.5
1661,472161.44
1662,407037.28
1663,384145.66
1664,360532.4
1665,335478.22
1666,332318.06
1667,387315.44
1668,335252.38
1669,303211.75
1670,357707.47
1671,275790.2
1672,527587.56
1673,305899.88
1674,247943.67
1675,187077.17
1676,192178.12
1677,227094.8
1678,482904.22
1679,413623.25
1680,342780.12
1681,261703.66
1682,300923.28
1683,168990.28
1684,167609.33
1685,170921.66
1686,168211.88
1687,168917.17
1688,187895.14
1689,196853.7
1690,191887.47
1691,178812.11
1692,259276.83
1693,171847.19
1694,178533.72
1695,167530.69
1696,269449.53
1697,174650.81
1698,375017.97
1699,321697
1700,247932.34
1701,257767.72
1702,249472.11
1703,248760.47
1704,278450.47
1705,235977.86
1706,427097.94
1707,212117.2
1708,214750.64
1709,280230.62
1710,228845.27
1711,254728.95
1712,242852.9
1713,271393.25
1714,223744.16
1715,214347.3
1716,193943.73
1717,175665.5
1718,126906.21
1719,196261.11
1720,245246.16
1721,163258.05
1722,116780.61
1723,154561.14
1724,211829.84
1725,243379.86
1726,187035.52
1727,153873.44
1728,170951.16
1729,173465.94
1730,165038.02
1731,119692.625
1732,131544.02
1733,116097.95
1734,117095.87
1735,126712.4
1736,114610.61
1737,349384.03
1738,218693.06
1739,278845.38
1740,247723.8
1741,197487.12
1742,174773.56
1743,177655.75
1744,308179.1
1745,233280.5
1746,195980.03
1747,217575.16
1748,226271.55
1749,152335.55
1750,128939.375
1751,231809.67
1752,118771.734
1753,147605.75
1754,189292.52
1755,178057.81
1756,126257.17
1757,124480.67
1758,138992.6
1759,148795.89
1760,166822.33
1761,148146.47
1762,173885.67
1763,177066.39
1764,112608.87
1765,163278.03
1766,159341.3
1767,215604.83
1768,146636.7
1769,177750.94
1770,149958.12
1771,125021.42
1772,137502.48
1773,137922.05
1774,117982.44
1775,141502.8
1776,122887.805
1777,118786.37
1778,142361.03
1779,125737.25
1780,171314.16
1781,124983.94
1782,94854.02
1783,143116.55
1784,109985.48
1785,134694.7
1786,154792.89
1787,169948.53
1788,57554.7
1789,100899.29
1790,68215.23
1791,187739.31
1792,159377.45
1793,131037.71
1794,157343.6
1795,136848.7
1796,128140.68
1797,128129.086
1798,127985.78
1799,114352.41
1800,142291.88
1801,136440.06
1802,126689.83
1803,144938.72
1804,143114.34
1805,135208.98
1806,111162.75
1807,129432.53
1808,125773.07
1809,123803.9
1810,156547.11
1811,96159.74
1812,99818.99
1813,128871.17
1814,104487.72
1815,47420.258
1816,99721.23
1817,119450.79
1818,159308.31
1819,124505.85
1820,41809.484
1821,112466.695
1822,136338.05
1823,31360.63
1824,132181.2
1825,123863.52
1826,107110.664
1827,102570.71
1828,139971.25
1829,112990.87
1830,149624.44
1831,162537.81
1832,64514.24
1833,143194.84
1834,111976.67
1835,142821
1836,123809.53
1837,83517.68
1838,120805.99
1839,88993.69
1840,171355.16
1841,148850.11
1842,85958.59
1843,134786.6
1844,137782.56
1845,138401.36
1846,156878.6
1847,170114.64
